Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you know what Agent-Based Modeling is?,What is your experience with Agent-Based Modeling?,How do you judge the available theory on Agent-Based Modelling?,Which software do you know for Agent-Based Modeling? - Selected Choice,Which software do you know for Agent-Based Modeling? - Other: - Text,Have you ever applied Agent-Based Modelling?,What did you use Agent-Based Modelling for?,Which computer skills do you have? - Selected Choice,"Which computer skills do you have? - Other, please describe: - Text",Do you have any previous programming/coding experience?,With which programming languages have you worked before? - Selected Choice,"With which programming languages have you worked before? - Other, please describe - Text",What is your age?,What is your gender? - Selected Choice,What is your gender? - Prefer to self describe below: - Text,What is you highest educational grade obtained?,What is you nationality? - Selected Choice,What is you nationality? - Nationality - Text,Which of the option below applies to you?,What is the best description of your job - Selected Choice,"What is the best description of your job - Different, please describe: - Text",What kind of organisation do you work? - Selected Choice,"What kind of organisation do you work? - Different, please describe: - Text"
2023-04-01 13:52:40,2023-04-01 13:55:31,IP Address,100,171,True,2023-04-01 13:55:32,R_WjuXUBpGYQfgd5D,anonymous,EN,Yes,Experienced,Sufficient,"NetLogo,GAML,R,Python",,Yes,"PhD thesis, university curriculum","Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding",,3-5 years,"NetLogo,Python,R,GAML,Javascript / Typescript,Other, please describe",PHP,21-30 years,Female,,Master,Nationality,German,Working professionally,Research,,University,
2023-04-01 19:49:25,2023-04-01 19:52:09,IP Address,100,163,True,2023-04-01 19:52:10,R_3fBmnXSf8U4Syqy,anonymous,EN,Yes,Beginner,Limited,"NetLogo,R,Python",,Yes,Just for practice at this level,"Word processor,Email,Spreadsheet,GIS,CAD,3D modelling",,Less than 1 year,"NetLogo,Python,R",,41-50 years,Female,,PhD,Nationality,Croatian,Working professionally,Education,,University,
2023-04-01 23:03:55,2023-04-01 23:11:35,IP Address,100,459,True,2023-04-01 23:11:35,R_7aqDyCzQsJYFCRX,anonymous,EN,Yes,Beginner,No opinion,None,,No,,"Word processor,Email,Spreadsheet,GIS,CAD,3D modelling,Programming/coding",,3-5 years,"Java,R,Other, please describe","C#, camos Develop",21-30 years,Female,,High school,Nationality,German,Student,,,,
2023-04-02 02:38:02,2023-04-02 02:40:01,IP Address,100,119,True,2023-04-02 02:40:03,R_scezTTOmeugR0id,anonymous,EN,No,,,,,,,"Email,Spreadsheet,3D modelling",,No,,,21-30 years,Female,,High school,Nationality,United States of America,Student,,,,
2023-04-02 20:11:41,2023-04-02 20:26:07,IP Address,100,865,True,2023-04-02 20:26:09,R_RfYvvfbo07iWImd,anonymous,EN,Yes,Beginner,No opinion,None,,No,,"Email,Spreadsheet,GIS",,Less than 1 year,Java,,31-40 years,Female,,Master,Nationality,Indian,Student,,,,
2023-04-02 22:06:11,2023-04-02 22:09:02,IP Address,100,171,True,2023-04-02 22:09:03,R_1PT5yn8ZBe8r5AC,anonymous,EN,No,,,,,,,Programming/coding,,More than 5 years,"Python,Java,R",,Prefer not to share this,Female,,PhD,Nationality,"Dutch ",Working professionally,Research,,Government,
2023-04-03 03:02:59,2023-04-03 03:03:45,IP Address,100,45,True,2023-04-03 03:03:47,R_1cSarbyozcO0LFB,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,
2023-04-03 07:08:03,2023-04-03 07:09:56,IP Address,100,113,True,2023-04-03 07:09:58,R_2alt6cUa7HNxSmf,anonymous,EN,No,,,,,,,"Word processor,Email,Spreadsheet,GIS,Other, please describe:",Basic understanding of coding,Less than 1 year,"R,Other, please describe",VB,41-50 years,Female,,Master,Prefer not to share,,Student,,,,
2023-04-03 07:26:57,2023-04-03 07:31:08,IP Address,100,250,True,2023-04-03 07:31:10,R_24bBxya8MYme38m,anonymous,EN,Yes,Beginner,No opinion,None,,No,,"Word processor,Email,Spreadsheet,GIS",,No,,,41-50 years,Male,,PhD,Nationality,"Hungary ",Working professionally,Research,,"Different, please describe:","Application would be both for university and government "
2023-04-03 09:48:45,2023-04-03 09:50:55,IP Address,100,129,True,2023-04-03 09:50:56,R_1HjULcYUz5rmzFp,anonymous,EN,Yes,Beginner,Sufficient,"NetLogo,R,Python",,No,,"Word processor,Email,Spreadsheet,GIS,Programming/coding,Other, please describe:",network analysis,3-5 years,"Python,R,Javascript / Typescript",,31-40 years,Female,,PhD,Nationality,German,Working professionally,Research,,University,
2023-04-03 08:13:47,2023-04-03 09:58:21,IP Address,100,6274,True,2023-04-03 09:58:22,R_27CCDuKfJSitl9y,anonymous,EN,Yes,Beginner,Limited,None,,No,,"Word processor,Email,Spreadsheet",,No,,,51-60 years,Female,,PhD,Nationality,german,Working professionally,Research,,University,
2023-04-03 11:57:04,2023-04-03 12:00:52,IP Address,100,227,True,2023-04-03 12:00:53,R_2BeBtauZPmJS7mD,anonymous,EN,Yes,Beginner,No opinion,Python,,No,,"Word processor,Email,Spreadsheet,GIS,3D modelling,Programming/coding",,3-5 years,Python,,21-30 years,Female,,Master,Prefer not to share,,Student,,,,
2023-04-03 13:31:45,2023-04-03 13:33:07,IP Address,100,82,True,2023-04-03 13:33:08,R_1jMKj6FQeELcAJR,anonymous,EN,Yes,Beginner,Sufficient,NetLogo,,No,,"Word processor,Email,Spreadsheet,GIS,CAD",,No,,,41-50 years,Female,,Master,Nationality,nl,Working professionally,Specialist,,Commercial,
2023-04-03 13:31:20,2023-04-03 13:33:16,IP Address,100,116,True,2023-04-03 13:33:17,R_ebL1oIDSG8nt8GJ,anonymous,EN,No,,,,,,,"Word processor,Email,Spreadsheet,GIS,3D modelling",,No,,,31-40 years,Male,,Master,Prefer not to share,,Working professionally,Specialist,,Government,
2023-04-03 13:33:37,2023-04-03 13:34:16,IP Address,100,38,True,2023-04-03 13:34:16,R_26g2ar2vamLHUkQ,anonymous,EN,No,,,,,,,"Email,Spreadsheet,3D modelling",,No,,,21-30 years,Female,,High school,Nationality,USA,Student,,,,
2023-04-03 13:31:28,2023-04-03 13:37:00,IP Address,100,332,True,2023-04-03 13:37:01,R_1o1D5f6d4f9aPzy,anonymous,EN,Yes,Beginner,No opinion,"R,Python,None",,No,,"Word processor,Email,Spreadsheet,GIS,Programming/coding,Other, please describe:",basic experience in linux servers (hardvare and software),More than 5 years,"Python,Java,R,Javascript / Typescript,C++,Other, please describe",Basic,41-50 years,Male,,PhD,Nationality,Polish,Working professionally,"Different, please describe:",Research and Education,University,
2023-04-03 13:36:55,2023-04-03 13:39:49,IP Address,100,174,True,2023-04-03 13:39:50,R_2sdW61RMaySmKaz,anonymous,EN,Yes,Beginner,Very good,Python,,No,,GIS,,No,,,21-30 years,Female,,Master,Nationality,Spanish,Student,,,,
2023-04-03 13:38:26,2023-04-03 13:40:22,IP Address,100,116,True,2023-04-03 13:40:22,R_2ztKqDWZ8zagp0M,anonymous,EN,Yes,Beginner,Sufficient,"NetLogo,Python",,No,,"Word processor,Email,Spreadsheet,GIS,Programming/coding",,1-2 years,"NetLogo,Python,R",,31-40 years,Female,,Master,Nationality,German,Student,,,,
2023-04-03 13:45:11,2023-04-03 13:46:45,IP Address,100,93,True,2023-04-03 13:46:46,R_afqyXh5MTUtHi8h,anonymous,EN,Yes,Beginner,No opinion,None,,No,,"Word processor,Email,Spreadsheet,GIS,Programming/coding",,Less than 1 year,Python,,21-30 years,Female,,Master,Nationality,Dutch,Student,,,,
2023-04-03 22:43:13,2023-04-03 22:46:37,IP Address,100,203,True,2023-04-03 22:46:38,R_1zywtklfXAc7Xyh,anonymous,EN,Yes,Beginner,Limited,None,,No,,"Word processor,Email,Spreadsheet,GIS",,Less than 1 year,R,,21-30 years,Female,,Master,Nationality,greek,Student,,,,
2023-04-01 15:04:40,2023-04-01 15:05:07,IP Address,35,27,False,2023-04-08 15:05:10,R_RFzKkrvjFMqHWLL,anonymous,EN,Yes,Beginner,Limited,NetLogo,,Yes,,,,,,,,,,,,,,,,,
2023-04-03 13:38:32,2023-04-03 13:43:07,IP Address,88,274,False,2023-04-10 13:43:11,R_3KCxxSUCVrRIlYf,qr,EN,Yes,Beginner,No opinion,None,,No,,"Word processor,Email,Spreadsheet,GIS",,Less than 1 year,R,,21-30 years,Female,,Master,Nationality,Greek,Working professionally,,,,
